bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway_station,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_age_200,mean_age_500,mean_floors_200,mean_floors_500,mean_salaries_1000,mean_salaries_500,median_age_200,median_age_500,median_floors_200,median_floors_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,price_per_m,priced_houses_200,priced_houses_500,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
6,2,24,5,15,2,0,0,345,7420,1118,1525,4,0,1,1,1,0,0,0,33,33,7,6,34,25,40,35,8,7,30,25,4,1,7,0,2,0,59,11,66,0,0,43,8,0,0,13,3,1,0,54,2
4,1,18,3,8,7,0,0,261,4683,620,1155,5,1,2,0,4,2,5,4,25,25,12,8,44,47,10,11,13,6,35,37,3,1,3,2,5,2,78,11,45,2,0,30,13,0,0,6,2,0,0,31,22
6,1,25,4,6,1,0,0,248,1394,1573,4939,0,0,2,1,0,0,3,0,27,33,7,6,32,36,34,37,8,6,29,30,0,0,0,0,5,1,56,11,33,0,0,48,5,0,0,4,0,0,0,10,5
3,0,13,2,0,0,0,0,211,2040,474,4616,0,0,1,0,0,0,0,0,45,42,2,4,0,0,47,47,2,3,0,0,0,0,0,0,1,0,53,12,50,1,1,13,3,0,0,4,2,0,0,0,0
2,1,13,3,6,0,0,0,140,7732,894,1818,4,3,1,0,1,0,1,0,30,31,8,6,37,49,30,34,8,6,31,33,1,0,3,0,0,0,50,10,62,1,0,19,7,0,0,7,2,1,0,29,4
2,1,35,12,19,5,0,0,221,11240,241,4434,4,3,0,0,3,1,0,0,29,62,3,3,34,25,15,54,2,3,25,25,1,1,5,3,12,5,102,6,43,3,2,18,8,0,0,10,0,1,1,13,6
7,0,20,7,4,2,0,0,125,1206,1255,4660,0,0,1,1,1,0,4,0,22,29,8,6,27,0,22,29,8,5,29,0,0,0,1,0,1,0,58,6,31,0,0,27,2,0,0,5,3,0,0,5,0
2,1,20,4,8,2,1,0,320,5256,586,533,0,0,2,0,1,0,1,0,46,46,2,3,44,35,56,56,2,2,32,33,1,0,1,0,1,0,68,9,28,1,0,37,10,1,0,6,0,0,0,33,4
3,1,12,5,4,3,1,0,329,3939,965,722,4,1,1,0,2,0,0,0,68,62,2,2,31,36,68,66,2,2,30,40,1,1,3,0,2,0,51,3,28,1,0,31,2,1,0,4,1,0,0,24,5
6,3,60,15,17,2,0,0,194,8929,697,2335,3,0,3,0,2,0,1,0,49,52,5,4,38,33,25,35,4,4,33,32,1,1,9,1,11,5,107,11,69,2,0,22,12,0,0,12,3,1,0,83,29
1,0,6,0,1,0,0,0,519,5103,2479,2430,0,0,0,0,0,0,0,0,35,43,3,3,45,47,37,44,3,3,45,47,0,0,0,0,0,0,43,8,25,0,0,4,1,0,0,2,0,0,0,11,8
2,1,12,2,0,0,0,0,317,2695,556,4340,0,0,0,0,0,0,0,0,40,41,4,5,35,0,44,44,4,4,34,0,0,0,1,0,0,0,52,9,47,2,0,7,1,0,0,4,0,0,0,4,0
5,0,16,6,7,0,0,0,262,4853,247,384,0,0,2,1,2,1,0,0,43,48,3,3,40,60,57,58,3,3,30,48,0,0,3,0,0,0,55,5,25,1,1,51,8,1,1,0,0,0,0,52,17
2,1,10,1,0,0,0,0,412,2590,355,3591,0,0,0,0,0,0,0,0,43,42,6,4,29,35,46,46,8,4,25,34,0,0,1,0,0,0,47,7,38,1,1,8,0,0,0,6,1,0,0,10,4
4,0,20,2,6,1,0,0,249,6336,264,901,1,0,1,0,1,0,1,0,48,49,3,4,36,37,52,52,4,4,35,35,1,0,0,0,2,1,50,9,38,1,1,60,16,2,0,10,2,1,0,49,6
8,1,29,6,18,4,0,0,86,7203,1104,1366,4,0,2,1,1,1,2,0,38,33,6,6,34,39,41,40,7,7,30,31,4,4,11,2,6,0,77,16,68,0,0,49,16,0,0,12,2,1,0,79,13
