bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway_station,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_age_200,mean_age_500,mean_floors_200,mean_floors_500,mean_salaries_1000,mean_salaries_500,median_age_200,median_age_500,median_floors_200,median_floors_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,price_per_m,priced_houses_200,priced_houses_500,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
2,0,14,4,5,1,1,0,141,7474,2601,4941,0,0,1,1,0,0,0,0,2,2,10,4,53,56,2,2,10,1,47,53,0,0,1,1,1,0,125,1,3,0,0,18,4,0,0,0,0,0,0,8,6
2,1,45,10,11,4,0,0,195,9902,2560,2522,0,0,0,0,2,1,2,0,53,46,5,4,42,46,57,56,5,3,40,40,2,0,4,2,2,0,95,4,18,0,0,65,20,0,0,2,0,0,0,11,5
3,1,59,10,20,3,0,0,147,4752,1476,1088,1,0,1,0,1,0,3,1,7,40,5,5,59,50,7,9,6,6,50,50,1,0,3,2,7,1,196,3,11,0,0,51,7,0,0,0,0,1,0,175,19
40,21,103,39,403,159,2,1,116,1390,550,251,8,3,3,0,133,48,14,4,170,162,2,2,58,51,160,159,1,2,43,40,108,28,331,133,82,11,110,6,36,6,0,1014,511,4,3,11,6,1,0,196,114
1,1,33,18,19,8,0,0,274,5931,2249,280,0,0,1,1,1,1,2,0,11,18,3,3,52,63,12,12,3,3,43,60,0,0,0,0,18,3,263,7,14,0,0,18,11,1,1,0,0,0,0,46,14
7,4,74,28,13,7,0,0,204,9168,168,3362,2,2,3,2,0,0,1,1,37,31,3,6,34,0,37,36,4,6,32,0,1,1,4,4,2,1,102,3,13,1,1,109,49,0,0,9,2,0,0,45,0
1,0,39,8,11,6,1,1,206,6844,1555,1268,0,0,2,1,0,0,2,2,6,13,20,11,28,29,6,10,20,11,30,32,4,2,5,0,4,1,135,2,14,0,0,47,19,0,0,12,3,0,0,12,4
0,0,19,5,2,2,0,0,215,9960,1583,1644,2,0,0,0,0,0,0,0,13,13,1,1,50,0,13,13,1,1,50,0,2,1,0,0,0,0,104,1,1,0,0,31,11,0,0,6,0,0,0,1,0
7,0,71,8,39,6,0,0,205,4935,975,1396,0,0,0,0,4,0,1,0,65,47,2,3,61,72,72,37,3,3,55,65,2,0,7,2,12,3,327,4,6,1,0,75,3,0,0,9,0,1,0,64,23
15,10,94,36,133,56,1,0,75,2426,296,131,7,2,9,1,18,8,6,4,116,107,2,2,51,50,116,114,2,2,43,38,19,10,159,61,35,9,115,4,37,9,3,454,238,3,2,6,2,1,0,220,85
48,15,76,31,430,121,3,0,197,271,446,268,8,3,4,2,124,21,14,2,192,174,2,3,47,44,188,180,2,3,38,32,164,36,326,97,122,40,267,3,12,8,1,740,216,2,2,15,6,7,2,222,130
1,1,35,22,19,6,0,0,165,5785,2157,170,0,0,1,1,1,0,2,1,9,18,4,3,52,63,11,12,5,3,47,60,0,0,0,0,18,2,397,5,14,0,0,18,11,1,1,0,0,0,0,44,13
13,7,84,20,88,30,1,0,181,4131,731,370,2,1,3,1,8,1,3,1,90,72,3,3,59,62,113,108,3,3,50,50,18,1,34,8,12,4,222,5,21,1,0,255,98,1,1,0,0,1,1,250,183
32,11,78,26,272,87,1,0,235,1200,417,346,3,1,2,0,92,47,13,1,2,142,10,4,57,55,2,157,10,4,39,43,82,17,255,79,161,68,105,1,12,5,1,434,144,3,1,0,0,1,0,167,49
13,2,47,5,16,3,0,0,233,7061,1676,432,0,0,2,0,1,1,1,0,23,25,5,4,32,26,26,26,5,4,30,25,8,2,11,0,6,0,98,3,11,0,0,135,21,1,1,4,0,0,0,31,6
3,2,51,18,15,11,1,1,223,9303,2738,1407,1,0,0,0,0,0,3,3,53,49,5,4,51,56,53,53,5,5,55,60,1,1,2,1,10,4,119,3,8,0,0,86,55,0,0,7,2,0,0,9,4
9,3,93,20,23,5,1,0,86,8617,535,2540,2,1,2,0,0,0,3,2,0,29,6,6,35,34,0,36,7,7,32,32,2,1,7,3,3,0,97,3,17,2,0,147,38,0,0,10,6,0,0,50,44
4,2,42,14,44,28,0,0,165,6296,643,287,1,1,4,2,2,1,1,0,67,80,4,3,50,51,69,87,5,3,44,44,1,1,39,30,5,1,142,5,10,2,0,194,119,1,1,10,4,0,0,162,112
0,0,25,2,5,0,0,0,491,6439,1516,4158,0,0,1,0,0,0,0,0,16,35,11,6,42,0,9,44,11,7,35,0,3,0,0,0,3,1,102,4,15,0,0,33,5,0,0,0,0,0,0,28,0
59,17,116,41,450,164,2,1,33,956,117,202,8,2,4,0,156,44,15,7,170,163,3,2,53,51,161,161,2,3,40,40,120,56,415,117,98,10,122,6,28,6,1,1193,534,6,3,11,6,1,0,337,112
6,1,49,18,22,8,1,1,138,8940,2301,813,1,1,0,0,0,0,3,2,46,50,8,6,39,60,46,50,8,5,36,60,2,0,7,0,14,3,101,1,5,0,0,123,30,1,0,8,4,0,0,55,3
3,2,33,11,10,0,0,0,229,4509,1356,2079,4,2,0,0,0,0,2,2,42,49,8,5,44,45,14,57,6,5,45,37,3,0,11,2,17,12,279,3,11,0,0,76,27,0,0,11,4,0,0,53,5
57,12,94,8,444,136,5,1,122,998,165,140,11,2,9,7,159,39,10,4,150,134,3,3,50,57,147,137,3,3,40,50,132,46,289,74,61,15,135,10,41,8,2,1168,312,7,2,20,5,2,0,366,113
6,2,85,28,47,15,1,0,207,2836,1096,457,4,0,2,1,7,4,3,0,40,88,3,3,53,57,30,106,3,3,48,49,3,0,23,3,4,1,181,4,17,0,0,105,41,1,1,15,7,0,0,104,50
4,1,37,7,12,5,0,0,172,5327,830,3073,2,0,0,0,0,0,0,0,50,52,5,6,52,41,50,52,5,4,45,42,0,0,8,1,24,8,128,2,11,1,0,75,24,0,0,8,1,1,0,31,3
4,0,26,8,29,6,0,0,128,7429,957,1131,1,0,1,0,0,0,1,0,120,91,3,2,51,54,139,62,3,2,45,44,1,0,19,3,3,2,84,4,9,1,0,112,13,0,0,8,4,0,0,133,25
6,1,41,10,32,4,0,0,123,6738,331,946,1,1,3,1,2,0,1,0,49,56,3,2,51,33,49,56,3,1,45,30,1,0,40,7,4,3,114,2,7,2,1,166,30,1,0,0,0,0,0,136,10
16,1,113,12,159,38,2,0,117,2956,90,533,8,2,2,1,17,3,9,2,137,120,2,2,50,54,115,122,3,2,40,48,19,4,149,47,31,7,111,7,24,8,3,496,127,4,0,7,0,2,1,228,26
53,10,70,21,446,123,7,1,188,1180,105,563,11,2,10,3,150,33,5,3,124,138,4,3,53,67,141,139,4,4,44,57,142,68,297,79,78,28,280,8,61,12,4,976,305,1,0,13,4,5,3,413,66
37,18,100,28,265,69,1,0,52,2082,710,668,7,5,7,2,120,47,7,1,120,111,2,2,49,57,127,116,3,3,40,45,50,13,197,52,32,7,136,9,42,8,0,834,222,2,0,7,0,1,0,388,34
