price,price_per_m,area,year,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
0.0,0,93.0,,6,6,30,12,9,7,0,0,25,8547,1921,136,5,5,1,0,0,0,1,0,0,0,37,37,33,33,1,1,9,91320086,4,0,81,74,1,1,6,1,0,0,55,46,1957,,
8740.0,95,92.0,0.0,5,1,90,38,127,40,0,0,76,3034,742,1517,3,6,7,1,2,0,21,6,6,1,51,39,42,32,16,5,126,27,36,10,3,2,0,359,134,0,0,15,7,1,0,98.0,12.0
31900.0,290,110.0,2016.0,13,4,69,25,76,25,0,0,211,2820,608,1311,9,9,3,2,2,0,18,0,2,0,51,55,45,50,5,2,65,18,30,11,3,3,0,199,73,0,0,0,0,5,2,76.0,15.0
6849.900000000001,129,53.1,0.0,5,1,33,5,14,4,0,0,174,5011,504,2827,2,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,1,1,0,73,6,0,0,8,3,1,0,24.0,14.0
14457.0,183,79.0,2005.0,0,0,0,0,8,2,0,0,1225,7021,2536,1525,11,19,1,0,0,0,0,0,0,0,53,52,45,42,0,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,124.0,25.0
3586.0,163,22.0,1955.0,14,3,86,17,109,17,2,1,225,2320,254,600,2,4,8,1,7,3,24,3,8,4,51,51,40,40,15,3,119,36,25,1,0,4,2,373,93,4,0,6,0,0,0,200.0,55.0
4968.0,138,36.0,1884.0,16,2,85,12,109,11,3,0,68,2243,713,717,1,5,7,1,8,2,20,5,8,1,53,53,45,46,14,0,95,15,19,4,2,4,0,311,24,3,0,14,0,0,0,149.0,64.0
28928.0,128,226.0,2011.0,0,0,10,0,1,0,0,0,883,8362,1460,1086,8,8,0,0,0,0,0,0,0,0,46,43,40,37,0,0,0,0,0,0,4,0,0,6,0,0,0,5,0,0,0,84.0,63.0
16456.0,242,68.0,2001.0,12,1,58,14,47,2,0,0,66,4149,1251,770,3,9,1,0,2,0,3,0,2,0,60,60,50,55,5,0,11,1,5,2,2,0,0,130,7,1,0,0,0,1,0,212.0,97.0
24964.0,316,79.0,1899.0,9,1,57,8,145,25,0,0,261,2666,457,1573,2,5,8,2,3,2,34,6,5,0,61,39,48,40,20,6,142,21,53,13,3,7,1,240,25,0,0,0,0,5,0,81.0,12.0
7101.0,135,52.6,0.0,5,1,33,5,14,4,0,0,174,5011,504,2827,4,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,1,1,0,73,6,0,0,8,3,1,0,24.0,14.0
8483.800000000001,169,50.2,1800.0,55,17,80,34,479,142,5,3,143,353,130,624,1,5,7,5,5,2,146,52,12,0,51,46,40,30,191,53,298,105,103,34,1,10,2,925,205,5,0,19,9,6,3,450.0,134.0
16800.0,105,160.0,2004.0,10,5,96,32,20,9,1,0,64,8820,298,2933,17,24,2,1,3,0,0,0,3,1,35,34,32,32,3,1,9,2,3,1,3,2,1,152,62,0,0,12,6,0,0,51.0,44.0
7996.8,102,78.4,1993.0,15,5,56,12,20,5,0,0,290,7089,1515,353,6,16,0,0,2,1,1,1,1,0,43,31,36,30,8,6,6,0,5,2,3,0,0,129,44,1,1,4,1,0,0,49.0,20.0
13824.0,144,96.0,2006.0,14,4,34,11,36,6,1,0,380,8087,405,605,3,14,2,0,1,0,1,1,0,0,44,76,35,70,2,1,17,3,3,0,3,2,1,176,18,1,0,6,0,0,0,129.0,22.0
12943.8,153,84.6,1917.0,0,0,0,0,4,0,0,0,1305,6366,1726,1460,2,3,0,0,0,0,0,0,0,0,50,51,45,40,0,0,1,1,6,4,3,0,0,1,1,0,0,0,0,0,0,41.0,3.0
3498.0,106,33.0,0.0,10,2,34,8,28,6,1,0,78,8120,892,923,3,9,0,0,1,0,1,0,0,0,45,46,35,35,3,1,15,3,1,0,1,2,0,155,33,1,0,13,3,0,0,116.0,79.0
6793.8,134,50.7,0.0,5,1,33,5,14,4,0,0,174,5011,504,2827,4,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,1,1,0,73,6,0,0,8,3,1,0,24.0,14.0
7920.0,90,88.0,1953.0,6,4,19,9,8,6,0,0,254,8747,2163,418,1,5,0,0,0,0,1,0,0,0,37,35,33,31,1,1,9,7,5,1,4,0,0,77,59,1,1,4,0,0,0,50.0,36.0
19936.0,178,112.0,2014.0,20,4,68,20,109,27,1,0,148,3499,766,521,4,8,5,1,6,2,8,4,2,1,58,57,50,50,19,4,51,4,16,2,2,3,0,281,64,2,0,2,0,0,0,253.0,83.0
9169.0,173,53.0,1907.0,33,16,47,18,197,76,2,1,144,2016,711,398,2,5,8,5,5,0,47,15,4,0,55,55,48,50,52,16,188,88,36,13,2,2,0,507,220,1,1,5,0,3,1,355.0,132.0
3895.7999999999997,86,45.3,1961.0,2,0,0,0,1,0,0,0,1090,9782,3171,1299,2,7,0,0,0,0,0,0,0,0,37,39,37,37,0,0,3,0,2,0,2,0,0,20,0,0,0,0,0,0,0,22.0,6.0
5342.4,126,42.4,2007.0,2,0,10,6,2,0,1,0,145,6973,2793,3842,8,10,0,0,1,1,0,0,0,0,37,0,36,0,0,0,1,0,2,1,1,0,0,25,8,0,0,0,0,0,0,4.0,0.0
7726.8,94,82.2,1961.0,4,0,44,17,15,2,1,0,280,8012,895,523,7,7,0,0,3,0,1,0,2,0,45,56,40,60,3,1,5,0,3,1,3,1,0,39,5,2,0,12,8,0,0,237.0,29.0
84816.0,342,248.0,2017.0,4,1,57,12,21,3,0,0,120,4970,1356,932,4,8,1,0,2,0,1,0,4,0,60,49,50,48,0,0,4,1,6,0,5,0,0,43,6,1,0,0,0,1,0,128.0,29.0
7732.200000000001,98,78.9,2012.0,32,11,78,26,272,87,1,0,235,1200,417,346,8,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,3,5,1,434,144,3,1,0,0,1,0,167.0,49.0
5236.0,136,38.5,0.0,10,0,38,4,33,8,1,0,208,8361,795,759,3,16,0,0,0,0,1,0,0,0,45,46,36,35,3,0,15,5,1,0,1,2,0,157,53,1,0,9,4,0,0,163.0,81.0
4550.0,175,26.0,2009.0,12,0,22,0,26,2,0,0,597,6886,3466,868,20,20,0,0,0,0,1,0,2,0,49,48,45,41,2,0,6,0,3,1,0,0,0,86,8,2,0,4,0,0,0,133.0,10.0
26970.0,186,145.0,2015.0,24,2,77,18,134,21,1,0,53,3240,924,969,10,10,6,1,9,0,12,2,6,2,61,64,47,48,13,0,27,7,59,9,4,1,0,249,34,1,0,24,7,0,0,314.0,43.0
11248.0,148,76.0,1870.0,48,21,113,33,385,146,1,1,139,994,296,271,4,4,7,2,5,0,110,42,14,4,47,52,39,40,109,29,339,110,72,6,3,5,1,1095,517,7,3,14,5,1,0,260.0,106.0
5464.8,99,55.2,1985.0,12,2,100,22,23,2,1,0,140,8661,905,3338,10,16,2,0,1,0,0,0,2,0,34,28,31,28,5,3,7,0,5,1,2,1,0,154,33,0,0,16,4,0,0,62.0,1.0
27321.800000000003,242,112.9,2004.0,22,12,74,35,92,25,1,1,109,2638,1097,522,6,7,4,2,5,1,53,13,5,2,50,46,41,40,16,3,84,40,15,5,3,0,0,339,129,2,0,7,5,1,0,187.0,134.0
19188.0,164,117.0,2012.0,1,0,45,24,7,1,0,0,42,4620,1000,1248,7,16,0,0,1,0,1,0,2,0,58,0,50,0,0,0,4,2,4,0,3,1,0,20,1,0,0,0,0,0,0,159.0,0.0
19126.8,189,101.2,2016.0,22,3,83,12,144,29,0,0,157,2585,260,914,7,10,4,1,5,0,24,4,2,0,55,71,45,50,31,5,109,14,102,30,3,8,2,326,64,1,0,4,0,9,2,272.0,23.0
6460.0,68,95.0,1982.0,9,0,74,19,18,4,1,0,91,8241,1356,3139,9,15,0,0,0,0,0,0,2,0,37,27,30,24,5,2,4,0,4,3,5,0,0,120,37,0,0,15,2,0,0,26.0,13.0
5461.4,83,65.8,1978.0,6,0,43,19,14,7,1,1,222,7029,1356,1106,5,9,0,0,2,2,1,0,2,2,34,28,30,30,8,2,5,1,4,0,3,0,0,65,22,0,0,12,4,0,0,25.0,9.0
13439.800000000001,149,90.2,2017.0,0,0,0,0,7,2,0,0,1185,6582,2030,1395,11,13,0,0,0,0,0,0,0,0,51,43,42,33,0,0,1,0,7,3,3,0,0,1,1,0,0,0,0,0,0,41.0,8.0
5555.0,101,55.0,1986.0,7,0,21,3,10,3,0,0,207,7187,1559,770,1,12,0,0,1,0,1,0,1,1,48,38,30,38,5,0,9,3,2,0,2,0,0,94,35,1,0,0,0,0,0,42.0,2.0
