price,price_per_m,area,year,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
6600.0,88,75.0,1966,4,1,18,3,8,7,0,0,261,4683,620,1155,21,22,5,1,2,0,4,2,5,4,44,47,35,37,3,1,3,2,5,2,2,2,0,30,13,0,0,6,2,0,0,31,22
3567.2,52,68.6,1981,6,1,25,4,6,1,0,0,248,1394,1573,4939,1,9,0,0,2,1,0,0,3,0,32,36,29,30,0,0,0,0,5,1,3,0,0,48,5,0,0,4,0,0,0,10,5
2668.0,58,46.0,1971,3,0,13,2,0,0,0,0,211,2040,474,4616,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,13,3,0,0,4,2,0,0,0,0
3085.0,50,61.7,1990,2,1,13,3,6,0,0,0,140,7732,894,1818,20,20,4,3,1,0,1,0,1,0,37,49,31,33,1,0,3,0,0,0,1,1,0,19,7,0,0,7,2,1,0,29,4
6594.0,84,78.5,2004,2,1,35,12,19,5,0,0,221,11240,241,4434,3,9,4,3,0,0,3,1,0,0,34,25,25,25,1,1,5,3,12,5,2,3,2,18,8,0,0,10,0,1,1,13,6
6440.0,56,115.0,2013,7,0,20,7,4,2,0,0,125,1206,1255,4660,5,10,0,0,1,1,1,0,4,0,27,0,29,0,0,0,1,0,1,0,3,0,0,27,2,0,0,5,3,0,0,5,0
5040.0,70,72.0,2007,2,1,20,4,8,2,1,0,320,5256,586,533,2,10,0,0,2,0,1,0,1,0,44,35,32,33,1,0,1,0,1,0,2,1,0,37,10,1,0,6,0,0,0,33,4
2513.7000000000003,57,44.1,0,3,1,12,5,4,3,1,0,329,3939,965,722,18,27,4,1,1,0,2,0,0,0,31,36,30,40,1,1,3,0,2,0,1,1,0,31,2,1,0,4,1,0,0,24,5
14824.0,136,109.0,2007,6,3,60,15,17,2,0,0,194,8929,697,2335,5,11,3,0,3,0,2,0,1,0,38,33,33,32,1,1,9,1,11,5,3,2,0,22,12,0,0,12,3,1,0,83,29
2313.4,43,53.8,1997,1,0,6,0,1,0,0,0,519,5103,2479,2430,3,10,0,0,0,0,0,0,0,0,45,47,45,47,0,0,0,0,0,0,2,0,0,4,1,0,0,2,0,0,0,11,8
3648.0,57,64.0,1989,2,1,12,2,0,0,0,0,317,2695,556,4340,9,9,0,0,0,0,0,0,0,0,35,0,34,0,0,0,1,0,0,0,3,2,0,7,1,0,0,4,0,0,0,4,0
2376.0,54,44.0,1962,5,0,16,6,7,0,0,0,262,4853,247,384,2,5,0,0,2,1,2,1,0,0,40,60,30,48,0,0,3,0,0,0,2,1,1,51,8,1,1,0,0,0,0,52,17
2640.0,44,60.0,1973,2,1,10,1,0,0,0,0,412,2590,355,3591,9,9,0,0,0,0,0,0,0,0,29,35,25,34,0,0,1,0,0,0,3,1,1,8,0,0,0,6,1,0,0,10,4
2464.0,56,44.0,1967,4,0,20,2,6,1,0,0,249,6336,264,901,3,5,1,0,1,0,1,0,1,0,36,37,35,35,1,0,0,0,2,1,2,1,1,60,16,2,0,10,2,1,0,49,6
1775.8999999999999,43,41.3,1978,8,1,29,6,18,4,0,0,86,7203,1104,1366,7,12,4,0,2,1,1,1,2,0,34,39,30,31,4,4,11,2,6,0,1,0,0,49,16,0,0,12,2,1,0,79,13
5440.0,50,108.8,2000,0,0,10,2,1,0,0,0,243,2345,1038,5235,10,16,0,0,1,1,0,0,0,0,42,0,42,0,0,0,0,0,2,1,3,0,0,8,2,0,0,4,2,0,0,2,0
4050.0,75,54.0,1986,6,1,21,1,5,3,0,0,450,763,1535,4434,9,9,0,0,1,0,1,0,2,1,29,27,29,27,0,0,1,0,2,1,2,0,0,40,18,0,0,6,0,0,0,8,3
2578.3,59,43.7,1960,2,1,12,0,3,1,0,0,685,4574,381,686,2,5,1,0,1,1,0,0,0,0,30,23,30,23,2,0,0,0,1,0,2,4,1,21,5,2,0,3,0,0,0,19,2
3070.5,89,34.5,2014,1,0,7,0,2,1,0,0,594,2166,1760,5789,5,18,0,0,0,0,0,0,1,0,19,0,19,0,0,0,1,0,0,0,1,0,0,11,3,0,0,2,0,0,0,1,0
2668.8,48,55.6,1965,1,0,19,0,5,0,1,0,527,6261,1479,1578,5,5,1,0,0,0,1,0,0,0,30,0,31,0,2,1,1,0,1,1,3,0,0,22,6,0,0,5,0,0,0,9,0
3752.3999999999996,53,70.8,1989,3,1,15,6,4,0,0,0,106,1600,1458,5186,3,10,0,0,1,0,0,0,1,1,29,0,29,0,1,0,2,1,0,0,3,0,0,25,4,0,0,5,3,0,0,6,0
3960.0,88,45.0,1999,8,3,37,8,30,10,0,0,128,7102,781,940,9,16,1,1,2,0,2,1,2,1,38,30,30,28,5,3,16,8,8,2,1,3,0,55,19,1,0,12,2,1,0,90,39
1540.0,70,22.0,1975,6,2,23,2,5,0,0,0,392,1522,816,4277,5,9,1,0,1,0,0,0,0,0,36,0,30,0,0,0,0,0,0,0,1,3,0,19,5,0,0,3,0,0,0,5,0
2537.0,59,43.0,1967,5,0,11,4,3,2,0,0,182,1584,403,2594,4,5,4,2,1,0,0,0,1,0,32,26,20,20,1,0,7,2,0,0,2,5,2,29,6,0,0,5,0,0,0,7,6
1741.5,81,21.5,1977,10,2,26,7,3,0,2,0,265,939,1329,3817,7,9,0,0,1,0,1,1,1,1,24,0,24,0,1,1,0,0,3,0,1,0,0,33,9,0,0,9,3,0,0,2,0
2244.0,66,34.0,1980,3,0,12,3,1,1,0,0,364,2146,1318,5269,8,12,0,0,2,0,0,0,2,0,36,0,30,0,0,0,0,0,2,1,1,0,0,17,5,0,0,4,1,0,0,5,0
2024.0,44,46.0,1962,8,2,19,1,4,1,0,0,431,3726,716,641,3,5,1,0,2,0,0,0,0,0,33,36,34,40,3,1,2,2,5,3,2,1,0,36,14,2,0,6,1,0,0,18,6
3510.0,65,54.0,1984,5,0,25,7,22,5,0,0,197,6182,576,364,2,12,6,1,5,2,1,0,1,0,34,29,30,23,2,1,9,2,12,2,2,1,0,33,10,2,1,5,2,0,0,89,16
2289.0,70,32.7,1976,7,2,16,5,3,1,0,0,277,419,1471,3824,9,12,0,0,1,0,1,0,2,1,26,0,27,0,1,1,0,0,3,0,1,0,0,46,8,0,0,6,3,0,0,5,0
11970.0,133,90.0,2015,3,1,14,6,8,6,0,0,67,4362,422,1474,24,24,3,0,3,1,2,1,5,2,45,43,32,48,3,2,3,1,6,2,2,2,1,22,13,0,0,6,3,0,0,25,3
1892.0,86,22.0,1978,9,1,36,16,33,1,0,0,190,7498,552,1111,7,9,4,0,1,0,1,0,2,1,38,22,30,18,5,0,18,4,6,1,1,3,0,56,13,0,0,11,6,1,1,73,5
4186.0,52,80.5,1941,5,1,22,7,2,0,1,0,83,2866,144,1365,1,2,5,1,1,0,1,0,0,0,34,39,40,40,0,0,6,1,0,0,3,2,1,25,3,0,0,6,0,0,0,12,3
3049.7999999999997,51,59.8,1975,1,0,4,2,0,0,0,0,93,3181,908,4837,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0
1848.0,56,33.0,1963,8,5,12,4,2,1,0,0,224,3817,293,226,5,5,0,0,3,1,0,0,0,0,35,37,38,41,1,1,3,1,5,3,1,1,1,32,15,1,1,5,1,0,0,18,6
5524.2,66,83.7,2006,4,2,20,5,2,0,0,0,184,2260,230,2296,5,10,2,2,1,1,1,0,0,0,27,0,22,0,0,0,7,4,0,0,2,3,3,25,14,0,0,8,3,0,0,8,0
884.0,68,13.0,0,3,1,14,8,1,0,0,0,273,4135,1488,2688,1,5,1,0,0,0,0,0,0,0,48,34,50,34,0,0,1,0,1,0,1,0,0,7,2,0,0,6,4,0,0,9,1
8806.0,74,119.0,1,6,3,62,12,30,20,0,0,278,10227,563,3446,2,5,8,1,2,0,3,2,0,0,40,44,37,50,6,3,5,2,18,5,3,3,0,20,6,0,0,21,6,3,0,32,6
1674.0,54,31.0,1982,8,3,19,5,4,2,0,0,399,1196,950,4421,1,9,0,0,2,0,0,0,0,0,33,36,30,30,0,0,0,0,3,1,1,1,0,33,4,0,0,0,0,0,0,7,5
1410.0,47,30.0,1962,2,1,12,5,0,0,0,0,187,4053,1290,2964,5,5,1,1,0,0,0,0,0,0,51,34,55,34,0,0,1,0,1,1,1,0,0,6,1,0,0,5,4,0,0,4,1
3390.0,60,56.5,0,1,1,8,2,4,0,0,0,338,7898,1056,1991,4,13,4,1,1,0,0,0,0,0,31,66,18,66,1,0,1,1,0,0,2,0,0,16,5,0,0,5,2,0,0,9,2
2419.0,41,59.0,1965,4,1,29,12,4,0,1,1,139,3624,384,1409,5,5,1,0,0,0,2,0,0,0,44,43,36,42,0,0,4,0,3,0,3,1,1,31,3,0,0,9,4,0,0,58,4
2015.0,62,32.5,0,2,2,16,9,9,0,0,0,209,4120,567,1721,11,24,2,0,3,1,2,0,5,1,42,43,31,48,3,2,3,0,3,3,0,1,0,19,6,0,0,7,4,0,0,30,3
2772.0,66,42.0,1,6,1,15,3,1,0,0,0,59,2908,769,794,9,10,2,0,1,0,1,1,0,0,38,44,33,36,0,0,4,1,1,0,1,2,0,28,6,1,0,4,0,0,0,28,14
3479.0,71,49.0,1954,8,0,39,13,20,5,0,0,335,8055,489,1752,2,3,4,3,1,0,1,0,2,0,32,18,25,18,2,0,8,2,4,0,2,3,1,34,5,0,0,13,1,1,1,29,1
6230.0,70,89.0,2010,7,1,22,8,4,1,0,0,147,1239,1160,4627,4,9,0,0,1,1,1,0,4,0,29,0,29,0,1,0,2,0,0,0,3,0,0,29,2,0,0,6,4,0,0,4,0
4975.099999999999,89,55.9,1,5,3,57,14,30,23,0,0,225,10317,491,3533,2,4,7,1,2,0,3,1,0,0,40,39,37,34,6,4,5,3,18,5,2,3,1,21,13,0,0,21,9,3,1,32,6
3600.0,40,90.0,1955,6,1,25,8,2,0,1,0,36,3190,613,1741,3,4,3,2,0,0,1,1,0,0,34,23,32,23,0,0,4,1,0,0,4,1,0,34,3,0,0,10,0,0,0,5,1
2396.0,40,59.9,2007,5,0,14,2,1,1,0,0,111,4176,1826,1787,3,5,0,0,0,0,0,0,0,0,42,65,45,65,0,0,1,1,0,0,2,0,0,16,1,0,0,6,2,0,0,11,1
3996.0,74,54.0,1968,8,0,35,9,36,6,0,0,139,7022,421,283,3,9,3,1,2,0,2,1,2,0,39,39,30,30,7,1,20,1,11,3,3,5,1,59,8,1,1,12,2,1,0,96,29
5428.0,59,92.0,1978,4,1,21,5,2,0,1,0,376,3234,578,1916,22,24,0,0,0,0,1,1,0,0,37,36,35,32,1,0,0,0,5,0,3,1,0,14,3,0,0,6,0,1,0,42,23
1749.8999999999999,57,30.7,1960,4,1,12,0,2,2,0,0,546,4049,1282,548,5,5,1,0,2,0,1,0,0,0,30,27,28,27,1,0,3,2,2,2,1,0,0,25,13,2,0,1,0,0,0,26,2
2200.0,55,40.0,2005,2,0,11,2,0,0,0,0,262,2815,897,2873,1,10,0,0,0,0,1,0,0,0,30,50,26,50,0,0,2,0,1,1,1,3,0,24,3,0,0,7,2,0,0,11,1
1650.0,55,30.0,1970,8,3,18,8,5,2,0,0,229,1066,464,3957,1,5,1,0,1,0,0,0,0,0,34,0,27,0,0,0,0,0,1,0,1,2,1,36,6,0,0,1,0,0,0,6,0
6191.599999999999,92,67.3,1970,0,0,14,3,18,3,0,0,480,6823,340,486,5,9,3,1,2,1,1,1,0,0,40,44,32,36,5,1,5,1,8,2,3,3,1,22,2,1,1,5,0,1,0,42,24
940.0,47,20.0,1878,0,0,17,8,2,1,0,0,114,12076,1054,5295,1,3,0,0,1,0,1,0,0,0,21,0,21,0,0,0,2,0,4,1,1,0,0,4,2,0,0,1,1,0,0,2,0
2240.0,56,40.0,1956,6,3,11,3,2,0,0,0,34,3646,835,37,6,9,0,0,2,1,1,1,0,0,38,27,33,27,0,0,3,1,2,1,1,1,0,33,18,2,1,0,0,0,0,28,9
3780.0,70,54.0,1988,7,1,27,7,7,1,0,0,89,1549,1824,5151,12,12,0,0,1,1,0,0,2,0,32,0,29,0,0,0,1,0,5,0,2,0,0,47,7,0,0,4,1,0,0,10,0
2112.0,48,44.0,1968,5,2,21,6,5,1,0,0,342,1143,111,3422,1,5,1,1,1,0,0,0,1,0,26,0,20,0,1,0,3,0,0,0,2,2,2,30,12,0,0,3,0,0,0,6,0
2622.0,57,46.0,1970,7,3,21,6,3,0,2,1,43,969,1096,3515,4,12,0,0,1,1,1,1,2,1,24,0,24,0,1,1,1,0,7,0,2,0,0,36,10,0,0,8,4,0,0,2,0
3100.0,62,50.0,1977,5,2,17,5,3,1,0,0,69,795,1499,4120,3,9,0,0,1,0,1,1,2,1,29,0,29,0,1,0,0,0,1,0,2,0,0,27,4,0,0,8,1,0,0,2,0
2640.0,55,48.0,2016,2,0,24,2,7,3,0,0,370,8423,654,2503,12,18,4,1,1,0,2,0,1,0,31,36,25,18,1,0,4,1,3,0,1,1,0,14,5,0,0,5,2,0,0,25,6
2842.0,49,58.0,1968,5,2,12,6,1,1,0,0,293,3832,1571,1956,1,5,0,0,0,0,1,0,0,0,33,0,26,0,0,0,1,1,1,0,3,0,0,19,5,0,0,6,3,0,0,4,0
2691.8,43,62.6,1977,5,2,11,5,1,0,0,0,251,3658,1335,1944,5,5,0,0,0,0,1,0,0,0,31,0,23,0,0,0,2,1,1,0,3,0,0,21,9,0,0,5,3,0,0,5,0
7820.0,92,85.0,1977,0,0,11,0,9,3,0,0,563,6680,331,563,1,16,3,0,2,1,1,0,0,0,44,41,35,42,4,1,3,1,6,2,3,2,1,19,2,1,0,4,0,1,0,34,14
2880.0,64,45.0,1986,5,2,22,3,5,2,0,0,192,1234,1800,4893,5,9,0,0,1,0,0,0,2,0,28,29,29,29,0,0,1,1,2,0,2,0,0,36,7,0,0,6,1,0,0,5,4
7300.0,73,100.0,2015,10,5,40,12,33,9,0,0,312,7912,186,1161,3,9,3,0,0,0,1,0,1,1,39,56,28,25,5,0,13,7,5,0,2,5,3,43,16,0,0,12,6,2,0,44,11
3540.0,59,60.0,1979,6,1,20,4,5,1,0,0,83,1837,1555,5157,7,9,0,0,1,1,0,0,2,0,36,42,30,42,0,0,0,0,2,1,3,0,0,25,9,0,0,3,0,0,0,5,2
1936.0,88,22.0,1975,5,0,29,9,22,6,0,0,222,6287,654,448,8,9,6,1,5,1,2,0,1,0,34,30,28,21,4,1,12,4,10,5,1,1,0,46,10,2,1,5,2,0,0,95,13
1650.0,55,30.0,1991,0,0,9,3,0,0,0,0,134,5274,23,832,8,9,2,0,1,0,0,0,0,0,22,20,22,18,1,0,0,0,2,1,2,2,2,7,0,1,0,5,2,0,0,9,5
2484.0,54,46.0,1967,9,2,21,4,3,0,0,0,280,296,1024,3381,1,5,1,0,1,0,1,0,3,0,24,0,24,0,2,0,1,0,3,2,2,0,0,45,14,0,0,7,2,0,0,2,0
3769.6,62,60.8,1978,5,1,10,6,2,0,0,0,216,4615,752,322,3,5,1,1,2,0,0,0,0,0,34,24,36,25,1,0,1,0,5,2,4,3,0,21,3,1,1,4,2,0,0,14,5
1288.0,56,23.0,1972,2,1,10,4,0,0,0,0,207,2243,202,1518,2,5,2,0,0,0,0,0,0,0,46,0,42,0,0,0,0,0,0,0,1,1,1,12,0,0,0,7,4,0,0,16,0
